Country;Deaths;Population;Pop.density;Median_age;65_older;70_older;GDP;Cardiovasc ;Diabetes;Smokers;HDI;COPD;CKD;Health_exp;Obesity;Organ_transplant;Asthma;Cancer;Gini
Algeria;2036,00;43851043,00;17,35;29,10;6,21;3,86;13913,84;6334,97;6714,99;15,60;0,75;1502,49;3772933,92;0,07;27,40;282,00;3135,00;203242,36;27,60
Argentina;33348,00;45195777,00;16,18;31,90;11,20;7,44;18933,91;5952,76;5636,39;21,80;0,83;3478,84;3663547,73;0,05;28,30;2417,00;7170,40;545859,04;41,40
Armenia;1559,00;2963234,00;102,93;35,70;11,23;7,57;8787,58;9991,01;7135,14;24,10;0,76;3096,97;350496,53;0,04;20,20;23,00;2060,34;37262,73;34,40
Australia;907,00;25499881,00;3,20;37,90;15,50;10,13;44648,71;10521,63;5320,97;14,70;0,94;5228,80;2486707,24;0,09;29,00;1741,00;8332,27;972873,51;34,40
Austria;1318,00;9006400,00;106,75;44,40;19,20;13,75;45436,69;11877,07;6823,20;29,60;0,91;5884,07;980331,46;0,11;20,10;720,00;5493,78;290814,96;29,70
Belgium;13203,00;11589616,00;375,56;41,80;18,57;12,85;42658,58;10359,61;7170,28;28,20;0,92;7470,00;1183864,58;0,11;22,10;934,00;4751,23;357881,73;27,40
Brazil;162269,00;212559409,00;25,04;33,50;8,55;5,06;14103,45;5883,25;5541,75;13,90;0,76;2874,61;17401507,98;0,08;22,10;9232,00;4393,98;1712421,31;53,90
Bulgaria;1632,00;6948445,00;65,18;44,70;20,80;13,27;18563,31;14464,09;9068,62;37,00;0,81;4831,62;943474,54;0,08;25,00;53,00;3760,88;177372,90;40,40
Canada;10490,00;37742157,00;4,04;41,40;16,98;10,80;44017,59;11771,44;5546,97;14,30;0,93;4978,88;3729185,77;0,10;29,40;3091,00;4519,01;2240623,27;33,30
Chile;14499,00;19116209,00;24,28;35,40;11,09;6,94;22767,04;6003,17;7503,46;37,80;0,84;2759,10;1740148,64;0,08;28,00;651,00;5444,31;248982,30;44,40
China;4739,00;1439323774,00;147,67;38,70;10,64;5,93;15308,71;8460,08;6328,79;25,60;0,75;3175,37;150497489,64;0,06;6,20;19462,00;1741,27;22421327,89;38,50
Colombia;32595,00;50882884,00;44,22;32,20;7,65;4,31;13254,95;4773,92;7432,92;9,00;0,75;2761,77;5218661,61;0,07;22,30;1318,00;3247,17;439379,82;50,40
Costa Rica;1464,00;5094114,00;96,08;33,60;9,47;5,69;15525,00;5769,90;8000,82;11,90;0,79;2266,54;660836,44;0,09;25,70;106,00;5229,28;61778,75;48,00
Croatia;752,00;4105268,00;73,73;44,00;19,72;13,05;22669,80;13209,46;10230,82;37,00;0,83;5163,59;580414,95;0,08;24,40;301,00;4427,56;139083,66;30,40
Cyprus;27,00;875899,00;127,66;37,30;13,42;8,56;32415,13;7447,75;8495,25;36,40;0,87;3921,65;115294,24;0,07;21,80;15,00;7577,20;29335,94;31,40
Czech Republic;4681,00;10708982,00;137,18;43,30;19,03;11,58;32605,91;14393,11;15199,03;34,30;0,89;4603,28;1303238,63;0,07;26,00;865,00;3072,79;332365,18;24,90
Denmark;740,00;5792203,00;136,52;42,30;19,68;12,33;46682,52;10669,84;6175,82;19,10;0,93;8200,25;579903,92;0,11;19,70;406,00;4866,24;217934,28;28,70
Dominican Republic;2263,00;10847904,00;222,87;27,60;6,98;4,42;14600,86;5825,27;3972,17;13,70;0,74;1188,02;790697,22;0,04;27,60;91,00;3861,04;68699,75;43,70
Ecuador;12815,00;17643060,00;66,94;28,10;7,10;4,46;10581,94;3957,24;4833,53;7,10;0,75;1235,07;1379176,09;0,09;19,90;262,00;4002,40;100582,95;45,40
Estonia;73,00;1326539,00;31,03;42,70;19,45;13,49;29481,25;15042,89;6172,23;31,30;0,87;2422,44;210095,18;0,06;21,20;56,00;1990,95;40622,04;30,40
Finland;362,00;5540718,00;18,14;42,80;21,23;13,26;40585,72;11583,13;10452,88;20,40;0,92;4398,66;535441,45;0,10;22,20;453,00;6905,69;207472,63;27,40
France;40169,00;65273512,00;122,58;42,00;19,72;13,08;38605,67;10238,63;4364,83;32,70;0,90;3841,88;6525468,14;0,12;21,60;5910,00;6955,82;2009937,46;31,60
Georgia;475,00;3989175,00;65,03;38,70;14,86;10,24;9745,08;12927,40;9437,80;28,80;0,78;3623,73;461026,67;0,07;21,70;44,00;1898,68;52206,15;36,40
Germany;11289,00;83783945,00;237,02;46,60;21,45;15,96;45229,25;11977,15;12408,98;30,60;0,94;7219,94;9925181,85;0,11;22,30;3767,00;4250,71;3211739,24;31,90
Greece;749,00;10423056,00;83,48;45,30;20,40;14,52;24574,38;10886,12;8268,01;43,40;0,87;6360,71;1447104,85;0,08;24,90;226,00;5717,91;307805,14;34,40
Hungary;2438,00;9660350,00;108,04;43,40;18,58;11,98;26777,56;14638,54;10162,55;30,60;0,84;6328,37;1232146,55;0,07;26,40;440,00;3320,40;253534,95;30,60
Iceland;18,00;341250,00;3,40;37,30;14,43;9,21;46482,96;8018,43;6182,87;14,70;0,94;4648,85;25792,03;0,09;21,90;10,00;7418,25;10656,74;26,80
India;126121,00;1380004385,00;450,42;28,20;5,99;3,41;6426,67;5114,69;5885,54;11,40;0,64;2723,41;115223088,21;0,05;3,90;12666,00;2466,80;3639595,15;35,70
Ireland;1945,00;4937796,00;69,87;38,70;13,93;8,68;67335,29;8072,07;5825,83;24,30;0,94;5444,79;727859,16;0,08;25,30;274,00;6992,97;140823,39;32,80
Italy;41063,00;60461828,00;205,86;47,90;23,02;16,24;35220,08;15937,50;10566,43;23,70;0,88;5393,70;7084023,33;0,09;19,90;3881,00;4246,29;2282520,40;35,90
Japan;1812,00;126476458,00;347,78;48,20;27,05;18,49;39002,22;13499,54;6856,60;22,10;0,91;3748,04;24695116,84;0,10;4,30;2535,00;4004,38;5817580,43;32,90
Latvia;96,00;1886202,00;31,21;43,90;19,75;14,14;25063,85;14218,59;6474,36;37,00;0,85;2260,99;293145,28;0,06;23,60;39,00;3169,04;50827,53;35,60
Lithuania;203,00;2722291,00;45,14;43,50;19,00;13,78;29524,27;14000,45;4995,92;28,80;0,86;2745,74;405883,26;0,07;26,30;129,00;2647,86;80049,38;37,30
Luxembourg;185,00;625976,00;231,45;39,70;14,31;9,84;94277,97;9110,47;9537,95;23,50;0,90;5368,11;57350,99;0,07;22,60;0,00;7159,23;19898,64;34,90
Malta;72,00;441539,00;1454,04;42,40;19,43;11,32;36513,32;10539,44;10908,92;25,50;0,88;4566,13;49582,03;0,10;28,90;17,00;7972,71;12753,05;29,20
Mexico;94808,00;128932753,00;66,44;29,30;6,86;4,32;17336,47;4706,57;9549,81;14,00;0,77;2081,76;16264323,66;0,06;28,90;3242,00;2683,97;1005223,27;45,40
Netherlands;7950,00;17134873,00;508,54;43,20;18,78;11,88;48472,55;10305,62;5871,52;25,80;0,93;7408,31;1821663,87;0,11;20,40;1311,00;7745,22;715272,58;28,50
New Zealand;25,00;4822233,00;18,21;37,90;15,32;9,72;36085,84;9721,24;4738,14;16,00;0,92;5690,14;463187,32;0,11;30,80;326,00;6010,91;186914,46;34,40
Norway;285,00;5421242,00;14,46;39,70;16,82;10,81;64800,06;10968,90;7595,37;20,20;0,95;6472,62;447570,90;0,10;23,10;443,00;6963,43;227807,55;27,00
Peru;34840,00;32971846,00;25,13;29,10;7,15;4,46;12236,71;4129,31;3373,61;4,80;0,75;1227,78;3237322,01;0,05;19,70;261,00;4189,54;196294,64;42,80
